### SHEET: Visión Macro 23S
 | MK × XABI — PLANIFICACIÓN HYROX VALENCIA · 23 SEMANAS · 11 MAY → 16 OCT 2026 |  |  |  |  |  |  |  |  |  |  |  |  | 
 | MK: Sent 55kg · DL 75kg · BP 30kg   |   Xabi: Sent 60kg · DL 80kg · BP 90kg   |   Objetivo: sub 1:15 · Ritmo competición: ~5:30/km |  |  |  |  |  |  |  |  |  |  |  |  | 
 | S | Fecha | Fase | Días | RPE | Volumen | Intensidad | % RM | Objetivo / Notas | MK / Completadas | MK / RPE Medio | Xabi / Completadas | Xabi / RPE Medio | Observaciones reales
 | 1 | 11 may | Introductorio | 4 | 7 | Alto | Baja | 55% | Construir base — técnica + Z2 + primera toma series | 1/4 | — | 0/4 | — | MK: solo D1 Fuerza (fiebre resto semana). Xabi: 0 sesiones.
 | 2 | 18 may | Introductorio | 4 | 7 | Alto | Baja | 60% | Economizar carrera — +5% carga · +1 serie pista | 2/4 | 6.5 | 2/4 | 6 | D1+D2 no realizados. HYROX técnico sin trineo (3 vueltas). Series carrera: primera vez, bien. MK: salida rápida (4:10/km), caída S4, recuperación. Xabi: arranque excesivo (3:35/km), mejorar respiración y pacing.
 | 3 | 25 may | Base aeróbica | 4 | 7 | Alto | Baja | 60% | Controlar fatiga — primer HYROX técnico juntos |  |  |  |  | 
 | 4 | 01 jun | Base aeróbica | 4 | 7 | Alto | Media | 65% | Primera transferencia — correr + estaciones |  |  |  |  | 
 | 5 | 08 jun | Base aeróbica | 4 | 8 | Med-Alt | Media | 70% | Subir umbral — 400m más rápidos |  |  |  |  | 
 | 6 | 15 jun | Base aeróbica | 4 | 8 | Medio | Med-Alt | 75% | Tolerancia trineo — pasos cortos + respiración |  |  |  |  | 
 | 7 | 22 jun | Base aeróbica | 4 | 8 | Medio | Media | 75% | Lunges y burpees eficientes — proteger cuáds |  |  |  |  | 
 | 8 | 29 jun | Descarga | 4 | 6 | Bajo | Baja | 65% | Mini-descarga — consolidar sin fatiga acumulada |  |  |  |  | 
 | 9 | 06 jul | Umbral | 5 | 8 | Medio | Alta | 80-85% | Ritmo objetivo — primeras series a ritmo HYROX |  |  |  |  | 
 | 10 | 13 jul | Umbral | 5 | 8 | Medio | Alta | 80% | Sincronía en pareja — quién marca el paso |  |  |  |  | 
 | 11 | 20 jul | Umbral | 5 | 8 | Alt-Med | Alta | 75% | Simulacro 80% — probar estrategia sin romperse |  |  |  |  | 
 | 12 | 27 jul | Descarga | 5 | 6 | Bajo | Media | 65% | Supercompensación — bajo volumen, alto rendimiento |  |  |  |  | 
 | 13 | 03 ago | Realización | 6 | 8 | Alto | Alta | 80% | Primer bloque 6 días — fuerza + específico HYROX |  |  |  |  | 
 | 14 | 10 ago | Realización | 6 | 8 | Alto | Alta | 82% | Resistencia específica — simulacros crecientes |  |  |  |  | 
 | 15 | 17 ago | Realización | 6 | 9 | Med-Alt | Muy alta | 85% | Potencia + velocidad — picos de ritmo |  |  |  |  | 
 | 16 | 24 ago | Realización | 6 | 8 | Medio | Alta | 80% | Simulacro 90% — validar tiempo objetivo |  |  |  |  | 
 | 17 | 31 ago | Descarga | 6 | 6 | Bajo | Media | 65% | Descarga activa — mantener forma, bajar fatiga |  |  |  |  | 
 | 18 | 07 sep | Competitivo | 6 | 8 | Medio | Alta | 82% | Ritmo de competición — solidificar el pacing |  |  |  |  | 
 | 19 | 14 sep | Competitivo | 6 | 9 | Med-Alt | Muy alta | 85% | Pico de forma — simulacro completo al 100% |  |  |  |  | 
 | 20 | 21 sep | Competitivo | 6 | 8 | Medio | Alta | 80% | Ajuste fino — correcciones técnicas finales |  |  |  |  | 
 | 21 | 28 sep | Taper | 5 | 7 | Bajo | Alta | 75% | Inicio taper — reducir volumen, mantener intensidad |  |  |  |  | 
 | 22 | 05 oct | Taper | 4 | 6 | Muy bajo | Media | 60% | Taper profundo — activación sin fatiga |  |  |  |  | 
 | 23 | 12 oct | Competición | COMP | 10 | — | MAX | — | 🏁 VALENCIA — 16 octubre |  |  |  |  | 

### SHEET: MK — Plan Completo
 | MK — HYROX VALENCIA · PLAN COMPLETO 23 SEMANAS |  |  |  |  |  |  |  | 
 | RM: Sentadilla 55kg · Peso Muerto 75kg · Press Banca 30kg   |   Objetivo sub 1:15 · Ritmo HYROX: ~5:30/km   |   ⚠️ S1/S2 corregidas (datos reales del HTML) |  |  |  |  |  |  |  | 
 | S1  ·  11 may  ·  INTRODUCTORIO  ·  4 DÍAS  ·  RPE 7  ·  Construir base — técnica + Z2 + primera toma series |  |  |  |  |  |  |  | 
 | Día | Sesión | Contenido | Descanso | Duración | RPE | Completada | RPE Real | Notas registro
 | Miércoles | Fuerza (gym — sin trineo S1) | CAL: 5' movilidad dinámica / Sentadilla 4×8 @55% → 30kg / Press Banca 4×10 @55% → 17.5kg / Dominadas asistidas 3×6 Banda M / Hip Thrust 3×12 → 30kg / Plancha 3×30'' | 60–90' | ~55' | 7 | Sí |  | Completó la sesión de fuerza. Fiebre después — no continuó el resto de la semana.
 | Jueves | Carrera Z2 | CAL: 5' movilidad + 5' trote suave / Carrera continua 30' / Ritmo: 6:20–6:35/km / FC <75% FCmax | — | ~40' | 5 | No |  | No realizada — fiebre.
 | Viernes | HYROX Técnico (gym, juntos) | CAL: 8' remo suave + movilidad hombro / 3 rondas (foco técnica, sin cronómetro): / · 250m Ski Erg / · 250m Remo / · 10 Wall Balls 6kg / · 3×40m Farmer Carry 2×12kg / · 20m Sled Push ligero / · 20m Sled Pull ligero / · 2×8 Burpee Broad Jump lentos / Desc 2–3' entre rondas | 2–3' entre rondas | ~60' | 6 | No |  | No realizada — fiebre.
 | Sábado | Series carrera pista | CAL: 10' trote + movilidad + 3×100m prog. / 5×400m umbral estable (no sprint) / Rec: 90'' caminando / Ritmo: 5:15–5:22/km | 90–120'' | ~55' | 7 | No |  | No realizada — fiebre.
 | S2  ·  18 may  ·  INTRODUCTORIO  ·  4 DÍAS  ·  RPE 7  ·  Economizar carrera — +5% carga · +1 serie pista |  |  |  |  |  |  |  | 
 | Día | Sesión | Contenido | Descanso | Duración | RPE | Completada | RPE Real | Notas registro
 | Miércoles | Fuerza + Trineo (gym) | CAL: 5' movilidad + 2r (goblet squat + hip hinge) / Sentadilla 4×5 @60% → 32.5kg / RDL 4×4 @60% → 45kg / Trineo Push 4×20m + Pull 4×20m (ligero) / Plancha 3×30'' | 60–90' | ~60' | 7 | No |  | No realizada.
 | Jueves | Carrera Z2 | CAL: 5' movilidad + 5' trote suave / Carrera continua 40 min / Ritmo: 6:00–6:30/km | — | ~50' | 6 | No |  | No realizada.
 | Viernes | HYROX Técnico (gym, juntos) | CAL: 8' ski suave + movilidad hombro + 10 WB ligeras / 2 rondas (algo más fluido que S1): / · 400m Run / · 500m Ski Erg / · 10 Wall Balls 6kg / · 15 Lunges sin carga / · 500m Remo / · 10 Burpees lentos / Desc 2' entre rondas | 2' entre rondas | ~60' | 7 | Sí | 5 | Muy tranquilo, 3 vueltas en todo, menos el trineo (no se hizo).
 | Sábado | Series carrera pista | CAL: 10' trote + técnica carrera / 8×400m umbral / Rec: 75–90'' caminando / Ritmo: 5:05–5:20/km | 75–90'' | ~60' | 7 | Sí | 8 | Primera vez con series — muy bien. Tiempos reales /400m: / 1:40 (4:10/km) · 1:54 (4:45/km) · 2:06 (5:15/km) · 2:28 (6:10/km) · 2:21 (5:52/km) · 2:15 (5:37/km) / Nota: salida rápida, caída en 4ª serie, recuperación final. Ajustar objetivos S3.
 | S3  ·  25 may  ·  BASE AERÓBICA  ·  4 DÍAS  ·  RPE 7  ·  Controlar fatiga — primer HYROX técnico juntos |  |  |  |  |  |  |  | 
 | Día | Sesión | Contenido | Descanso | Duración | RPE |  |  | 
 | Miércoles | Fuerza + Trineo (gym, juntos) | CAL: 5' Assault + movilidad + 2r activación /  / Sentadilla 4×5 @60% → 32.5kg / PM 4×4 @60% → 45kg / Trineo Push 4×20m + Pull 4×20m / Plancha 3×30'' | 60–90'' | ~60' | 7 |  |  | 
 | Jueves | Carrera Z2 | CAL: 5' movilidad + 5' trote /  / Carrera continua 40–45 min / 6:00–6:30/km | — | ~50' | 6 |  |  | 
